Disease,Precaution,Remedy
Acne, Keep your face clean by washing it twice daily.   Avoid squeezing or picking at acne lesions to prevent scarring.   Use noncomedogenic skincare products.   Maintain a healthy diet low in sugary and processed foods., Topical treatments like benzoyl peroxide or salicylic acid.   Prescription medications such as retinoids or antibiotics.   Oral contraceptives for hormonal acne.
Allergy, Identify and avoid allergens that trigger your symptoms.   Keep windows closed during high pollen seasons., Antihistamines to relieve symptoms.   Nasal corticosteroids for nasal allergies.   Epinephrine injection for severe allergic reactions (anaphylaxis).
Arthritis, Maintain a healthy weight.   Exercise regularly to keep joints flexible and strong.   Use proper body mechanics to avoid joint strain., Overthecounter pain relievers such as acetaminophen or ibuprofen.   Physical therapy.   Prescription medications like diseasemodifying antirheumatic drugs (DMARDs) or biologics.
Bronchial Asthma," Avoid triggers such as smoke, dust, and pet dander.   Use prescribed inhalers or medications as directed by your doctor.   Have an asthma action plan in place."," Rescue inhalers (shortacting bronchodilators) for immediate relief of symptoms.   Controller medications (inhaled corticosteroids, leukotriene modifiers) for longterm management.   Allergy shots (immunotherapy) for allergic asthma."
Cervical spondylosis, Maintain good posture.   Use ergonomic furniture and equipment.   Perform regular neck exercises., Physical therapy to strengthen neck muscles.   Neck traction to relieve pressure on nerves.   Pain relievers and muscle relaxants.
Chicken pox, Keep the infected person isolated until all blisters have crusted over.   Keep fingernails short to prevent scratching and secondary infections.   Use cool compresses to soothe itching., Overthecounter antihistamines to reduce itching.   Calamine lotion or oatmeal baths for soothing relief.   Acyclovir (antiviral medication) for severe cases.
Common Cold, Wash hands frequently.   Avoid close contact with sick individuals.   Practice good respiratory hygiene (cover mouth and nose when coughing or sneezing).," Get plenty of rest.   Stay hydrated.   Overthecounter cold remedies for symptom relief (pain relievers, decongestants, cough suppressants)."
Dengue, Eliminate standing water where mosquitoes breed.   Use mosquito repellent.   Wear long sleeves and pants to prevent mosquito bites., Rest and hydration.   Pain relievers (acetaminophen) to reduce fever and joint pain.   Hospitalization for severe cases with intravenous fluids and supportive care.
Diabetes, Monitor blood sugar levels regularly.   Follow a healthy diet low in sugar and carbohydrates.   Exercise regularly.," Insulin injections or oral medications to control blood sugar.   Balanced diet with emphasis on whole grains, fruits, vegetables, and lean proteins.   Regular physical activity."
Dimorphic Hemorrhoids, Maintain good bowel habits (avoid straining during bowel movements).   Eat a highfiber diet.   Stay hydrated., Overthecounter hemorrhoid creams or suppositories.   Warm baths (sitz baths) for pain relief.   Surgical procedures for severe cases.
Drug reaction, Take medications only as prescribed by your healthcare provider.   Be aware of potential side effects and allergic reactions.   Inform your doctor of any previous adverse drug reactions.," Discontinue the medication causing the reaction.   Treat symptoms with antihistamines, corticosteroids, or other medications as directed by a healthcare professional.   Seek emergency medical attention for severe reactions (anaphylaxis)."
Fungal infection," Keep skin clean and dry.   Wear clean, breathable clothing.   Avoid sharing personal items such as towels and clothing.", Topical antifungal creams or powders.   Oral antifungal medications for severe or persistent infections.   Good hygiene practices to prevent recurrence.
Gastroesophageal reflux disease," Avoid trigger foods such as spicy or acidic foods.   Eat smaller, more frequent meals.   Avoid lying down for at least 3 hours after eating."," Overthecounter antacids or acid reducers (H2 blockers, proton pump inhibitors).   Lifestyle changes such as weight loss and elevation of the head of the bed.   Prescription medications for severe cases."
Hypertension, Maintain a healthy weight.   Limit salt intake.   Exercise regularly.," Dietary changes (DASH diet: low in sodium, high in fruits, vegetables, and whole grains).   Regular aerobic exercise.   Prescription medications such as diuretics, ACE inhibitors, or calcium channel blockers."
Impetigo, Keep affected areas clean and covered.   Avoid close contact with others until lesions have healed.   Wash hands frequently.," Topical antibiotics (mupirocin) for mild cases.   Oral antibiotics (cephalexin, dicloxacillin) for more extensive or severe infections.   Good hygiene to prevent spread to others."
Jaundice, Get plenty of rest.   Stay hydrated.   Avoid alcohol and medications that may stress the liver.," Treat underlying cause if possible (e.g., hepatitis infection).   Phototherapy (light therapy) for newborn jaundice.   Intravenous fluids and supportive care for severe cases."
Malaria, Use mosquito nets while sleeping.   Take prescribed antimalarial medications if traveling to endemic areas.   Wear protective clothing and use insect repellent.," Antimalarial medications (chloroquine, mefloquine, atovaquoneproguanil) for treatment and prevention.   Seek medical attention promptly for fever or flulike symptoms, especially if in malariaendemic areas.   Preventive measures such as insecticidetreated bed nets and indoor residual spraying."
Migraine," Identify and avoid triggers such as certain foods, stress, or lack of sleep.   Maintain a regular sleep schedule.   Practice relaxation techniques."," Overthecounter pain relievers (ibuprofen, aspirin, acetaminophen) for mild migraines.   Prescription medications such as triptans or ergotamines for moderate to severe migraines.   Preventive medications if migraines are frequent or severe."
Peptic ulcer disease," Avoid irritants such as alcohol and NSAIDs (nonsteroidal antiinflammatory drugs).   Eat small, frequent meals.   Manage stress.", Proton pump inhibitors or H2 blockers to reduce stomach acid production.   Antibiotics to treat H. pylori infection if present.   Lifestyle changes such as quitting smoking and reducing alcohol consumption.
Pneumonia, Practice good hand hygiene.   Get vaccinated against bacterial pneumonia.   Avoid close contact with sick individuals.," Antibiotics for bacterial pneumonia.   Antiviral medications for viral pneumonia (e.g., influenza).   Supportive care including rest, hydration, and pain relief."
Psoriasis," Keep skin moisturized.   Avoid triggers such as stress, injury to the skin, and certain medications.   Follow prescribed treatment plan."," Topical corticosteroids or vitamin D analogs for mild to moderate psoriasis.   Phototherapy (light therapy) for moderate to severe psoriasis.   Systemic medications (methotrexate, cyclosporine, biologics) for severe, refractory cases."
Typhoid, Practice good hygiene and sanitation.   Drink only bottled or boiled water.   Avoid raw fruits and vegetables that cannot be peeled.," Antibiotics (e.g., ciprofloxacin, azithromycin) to treat the infection.   Vaccination for prevention in endemic areas.   Supportive care including rest and hydration."
Urinary tract infection, Drink plenty of water to flush out bacteria.   Urinate frequently.   Practice good hygiene (wipe from front to back)., Antibiotics to treat the infection.   Urinary analgesics to relieve pain and discomfort.   Cranberry juice or supplements to help prevent recurrent infections.
Varicose Veins, Avoid standing or sitting for long periods.   Elevate legs when resting.   Wear compression stockings., Lifestyle changes such as regular exercise and weight management.   Compression therapy (wearing compression stockings).   Surgical procedures such as vein ligation or sclerotherapy for severe cases.
